School Name,School Name,Building Address,Postcode,Borough,Latitude,Longitude
P.S. 200 - BROOKLYN,P.S. 200 - BROOKLYN,1940 BENSON AVENUE,11204.0,Brooklyn,40.603188,-74.001408
CAMBRIA HEIGHTS ACADEMY - QUEE,CAMBRIA HEIGHTS ACADEMY - QUEE,188-04 91ST AVENUE,10458.0,Queens,40.711849,-73.771195
TOWNSEND HARRIS HS - Q,TOWNSEND HARRIS HS - Q,149-11 MELBOURNE AVENUE,10458.0,Queens,40.734396,-73.821432
P.S. 105 - BROOKLYN,P.S. 105 - BROOKLYN,1031 59 STREET,11204.0,Brooklyn,40.632936,-74.00374
SEWARD PARK H.S.,SEWARD PARK H.S.,350 GRAND STREET,10002.0,Manhattan,40.717349,-73.989596
LYONS COMMUNITY SCHOOL - K,LYONS COMMUNITY SCHOOL - K,223 GRAHAM AVENUE,11204.0,Brooklyn,40.709941,-73.943641
RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -,290 ST MARKS PLACE,11204.0,StatenIsland,40.642793,-74.07873
P.S. 134 - QUEENS,P.S. 134 - QUEENS,203-02 109TH AVENUE,11204.0,Queens,40.70799,-73.755269
M079 SPED - MANHATTAN,M079 SPED - MANHATTAN,55 EAST 120 STREET,11204.0,Manhattan,40.802419,-73.942634
FOOD AND FINANCE HS - MANHATTA,FOOD AND FINANCE HS - MANHATTA,525 WEST 50 STREET,10019.0,Manhattan,40.765234,-73.993076
HS FOR VIOLIN AND DANCE - BRONX,HS FOR VIOLIN AND DANCE - BRONX,1110 BOSTON ROAD,11204.0,Bronx,40.827642,-73.904473
P.S. @ PARCEL F - QUEENS,P.S. @ PARCEL F - QUEENS,1-35 57TH AVENUE,11101.0,Queens,40.739081,-73.961663
I.S. 348 - MANHATTAN,I.S. 348 - MANHATTAN,512 WEST 182 STREET,11204.0,Manhattan,40.848925,-73.931028
LYFE PROGRAM,LYFE PROGRAM,8-21 BAY 25 STREET,10301.0,Queens,40.60201,-73.762795
P.S. 23 - BROOKLYN,P.S. 23 - BROOKLYN,545 WILLOUGHBY AVENUE,11204.0,Brooklyn,40.69407,-73.94756
THE BROOKLYN SCHOOL FOR SOCIAL,THE BROOKLYN SCHOOL FOR SOCIAL,400 IRVING AVENUE,11237.0,Brooklyn,40.697185,-73.91117
COLLABORATIVE ARTS MIDDLE SCHOOL - QUEENS,COLLABORATIVE ARTS MIDDLE SCHOOL - QUEENS,145-00 SPRINGFIELD BOULEVARD,11204.0,Queens,40.664608,-73.758784
THE SCIENCE AND MEDICINE MIDDL,THE SCIENCE AND MEDICINE MIDDL,965 EAST 107 STREET,11236.0,Brooklyn,40.647323,-73.892022
I.S. 145 - BRONX,I.S. 145 - BRONX,1000 TELLER AVENUE,10456.0,Bronx,40.827941,-73.914374
P.S. 50 - BRONX,P.S. 50 - BRONX,1550 VYSE AVENUE,10460.0,Bronx,40.834157,-73.887512
P.S. 189 - BROOKLYN,P.S. 189 - BROOKLYN,1100 EAST NEW YORK AVENUE,11204.0,Brooklyn,40.665565,-73.926246
MASPETH HIGH SCHOOL - QUEENS,MASPETH HIGH SCHOOL - QUEENS,54-40 74TH STREET,11373.0,Queens,40.729939,-73.887482
YOUNG W. LEADERSHIP SCL ASTORI,YOUNG W. LEADERSHIP SCL ASTORI,23-15 NEWTOWN AVENUE,11102.0,Queens,40.771215,-73.924591
P.S. 242 - MANHATTAN,P.S. 242 - MANHATTAN,134 WEST 122 STREET,11204.0,Manhattan,40.8063,-73.948013
P.S. 82 - QUEENS,P.S. 82 - QUEENS,108-43 SUTPHIN BLVD,10458.0,Queens,40.692182,-73.798509
P.S. 36 - STATEN ISLAND,P.S. 36 - STATEN ISLAND,200 JEFFERSON BOULEVARD,11204.0,StatenIsland,40.544575,-74.181735
P.S. 169 - BROOKLYN,P.S. 169 - BROOKLYN,4305 7 AVENUE,11204.0,Brooklyn,40.64629,-74.001903
P.S. 116 - QUEENS,P.S. 116 - QUEENS,107-25 WREN PLACE,11204.0,Queens,40.700606,-73.782302
I.S. 529 - BRONX,I.S. 529 - BRONX,3750 BAYCHESTER AVENUE,11204.0,Bronx,40.884953,-73.840524
I.S. 254 - BRONX,I.S. 254 - BRONX,2452 WASHINGTON AVENUE,10458.0,Bronx,40.858815,-73.890232
IS/HS 336 - QUEENS,IS/HS 336 - QUEENS,124-06 14TH AVENUE,11356.0,Queens,40.785327,-73.843749
P.S. 150 - QUEENS,P.S. 150 - QUEENS,40-01 43 AVENUE,11204.0,Queens,40.745537,-73.923776
ALC-JANE ADDAMS HS,ALC-JANE ADDAMS HS,900 TINTON AVENUE,11204.0,Bronx,40.821675,-73.903546
MONROE ACAD FOR VISUAL ARTS -,MONROE ACAD FOR VISUAL ARTS -,1300 BOYNTON AVENUE,10472.0,Bronx,40.831601,-73.878912
P.S. 33 - BRONX,P.S. 33 - BRONX,2424 JEROME AVENUE,10468.0,Bronx,40.86185,-73.90176
P.S. 24 ADDITION - QUEENS,P.S. 24 ADDITION - QUEENS,141-11 HOLLY AVENUE,11355.0,Queens,40.75146,-73.817849
I.S. 202 - QUEENS,I.S. 202 - QUEENS,138-30 LAFAYETTE STREET,11204.0,Queens,40.67124,-73.845141
P.S. 34 - MANHATTAN,P.S. 34 - MANHATTAN,730 EAST 12 STREET,11204.0,Manhattan,40.726473,-73.975181
WADLEIGH SECONDARY SCHOOL FOR,WADLEIGH SECONDARY SCHOOL FOR,215 WEST 114 STREET,10026.0,Manhattan,40.802207,-73.954142
Q177 SPED - QUEENS,Q177 SPED - QUEENS,56-37 188 STREET,11204.0,Queens,40.74391,-73.788133
PATHWAYS IN TECHNOLOGY EARLY COLLEGE HS - K,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HS - K,150 ALBANY AVENUE,10467.0,Brooklyn,40.675612,-73.938843
P.S. 242 - QUEENS,P.S. 242 - QUEENS,29-66 137TH STREET,10301.0,Queens,40.771265,-73.831525
