Project ID,Project Name,Street,Borough,BBL,BIN,Latitude,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
50291,E. H. C. C. I. / LA FORTALEZA HDFC,EAST 131 STREET,Manhattan,1017560113.0,1054343.0,40.809776,Preservation,No,Non Prevailing Wage,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,10,10
50293,Belle Apartments HDFC,EAST 178 STREET,Bronx,2030680061.0,2011977.0,40.846919,Preservation,No,Non Prevailing Wage,1,6,14,0,0,0,0,2,6,12,1,0,0,21,0,21,21
50294,Margarita Santos Apartments HDFC,HONEYWELL AVENUE,Bronx,2031240066.0,2013169.0,40.8462,Preservation,No,Non Prevailing Wage,0,6,25,0,0,0,0,1,24,6,0,0,0,31,0,31,31
50330,626 First Avenue,1 AVENUE,Manhattan,1009670001.0,1089237.0,40.744898,New Construction,No,Non Prevailing Wage,0,0,160,0,0,0,43,66,41,10,0,0,0,160,0,160,761
50352,Burnside Associates,DAVIDSON AVENUE,Bronx,2031980050.0,2014264.0,40.859681,Preservation,No,Non Prevailing Wage,0,0,95,24,0,0,0,77,21,21,0,0,0,119,0,119,119
50353,Webster Ryer (aka Mid-Webster Renewal),RYER AVENUE,Bronx,2031520003.0,2013578.0,40.859415,Preservation,No,Non Prevailing Wage,0,0,68,0,0,0,0,20,37,11,0,0,0,68,0,68,68
50354,Ogden Ave.,WEST 164 STREET,Bronx,2025240050.0,2097173.0,40.833021,Preservation,Yes,Non Prevailing Wage,40,1,0,0,0,0,41,0,0,0,0,0,0,41,0,41,41
50356,Gabriel House LP,ADAM C POWELL BOULEVARD,Manhattan,1019280029.0,1058563.0,40.807187,Preservation,Yes,Non Prevailing Wage,29,1,0,0,0,0,30,0,0,0,0,0,0,30,0,30,30
50359,FS Development,ADAM C POWELL BOULEVARD,Manhattan,1020250034.0,1060372.0,40.818324,Preservation,Yes,Non Prevailing Wage,0,0,72,0,33,0,4,0,66,12,23,0,0,105,0,105,105
50360,Park & 196th Street,EAST 196 STREET,Bronx,2032870062.0,2016628.0,40.866379,Preservation,Yes,Non Prevailing Wage,0,0,44,0,0,0,1,29,9,5,0,0,0,44,0,44,44
50370,Halle Housing Associates,ATLANTIC AVENUE,Brooklyn,3001850019.0,3000979.0,40.685525,Preservation,No,Non Prevailing Wage,0,0,201,0,0,1,202,0,0,0,0,0,0,202,0,202,202
50371,Hill House,GRAND AVENUE,Bronx,2028650162.0,2101324.0,40.846658,Preservation,Yes,Non Prevailing Wage,42,1,0,0,0,1,43,1,0,0,0,0,0,44,0,44,44
50372,San Miguel Residence aka Ryer Associates,RYER AVENUE,Bronx,2031520007.0,2013579.0,40.859583,Preservation,Yes,Non Prevailing Wage,0,0,69,0,0,1,64,5,1,0,0,0,0,70,0,70,70
50384,Mascot Flats HDFC,EAST 6 STREET,Manhattan,1003750030.0,1004442.0,40.722913,Preservation,Yes,Non Prevailing Wage,0,0,0,19,0,0,0,5,10,4,0,0,0,0,19,19,19
50386,304-306 EAST 8TH STREET HDFC,EAST 8 STREET,Manhattan,1003900009.0,1004704.0,40.725472,Preservation,Yes,Non Prevailing Wage,16,0,0,0,0,0,0,0,9,6,1,0,0,16,0,16,16
50388,TWEEMILL HOUSE HDFC,LEXINGTON AVENUE,Manhattan,1017750020.0,1076474.0,40.805136,Preservation,Yes,Non Prevailing Wage,0,40,0,0,0,0,40,0,0,0,0,0,0,40,0,40,40
50390,St Barnabas Housing For The Elderly,EAST 182 STREET,Bronx,2030510001.0,2095365.0,40.853111,Preservation,Yes,Non Prevailing Wage,0,0,90,0,0,1,27,64,0,0,0,0,0,91,0,91,91
50392,Promenade Apartments,WEST 225 STREET,Manhattan,1022150042.0,1064521.0,40.875121,Preservation,Yes,Non Prevailing Wage,0,0,95,0,222,0,0,126,127,64,0,0,0,317,0,317,317
50404,Vannguard,BAINBRIDGE STREET,Brooklyn,3016820080.0,3047617.0,40.681318,Preservation,Yes,Non Prevailing Wage,0,0,123,0,0,3,6,47,62,11,0,0,0,126,0,126,126
50405,CROTONA PARK NORTH,EAST 175 STREET,Bronx,2029480040.0,2009934.0,40.84181,Preservation,Yes,Non Prevailing Wage,0,0,66,0,0,1,5,35,27,0,0,0,0,67,0,67,67
50408,333 E 209TH STREET,EAST 209 STREET,Bronx,2033520001.0,2018488.0,40.876725,Preservation,No,Non Prevailing Wage,0,42,0,0,0,1,0,36,6,1,0,0,0,0,43,43,43
50410,CAMBA. 331 Saratoga Ave. Bergen Saratoga,SARATOGA AVENUE,Brooklyn,3014470001.0,3413938.0,40.674495,New Construction,No,Non Prevailing Wage,40,16,23,0,0,1,40,13,27,0,0,0,0,80,0,80,80
50411,LPC WAREHOUSE/ WILLIAMSBURG BRIDGEVIEW,SOUTH 5 STREET,Brooklyn,3024437501.0,3424573.0,40.711481,New Construction,No,Non Prevailing Wage,16,0,38,0,0,1,12,15,27,1,0,0,0,55,0,55,55
