,Oversight Agency,Full Location Address,Borough,Postcode,Wheelchair Accessible,Assistive Technology,Affordability Connectivity Program,Productivity Tools,Job Readiness,Education,Creative Expression,Media and Entertainment,Certifications,Digital Literacy,Latitude,Longitude
35,DFTA,"10315 Farragut Road, Brooklyn, NY",Brooklyn,11236,Yes,No,Not sure,Yes,No,Yes,Yes,Yes,No,No,40.649668,-73.89929
182,NYPL,"976 Castleton Avenue, Staten Island, NY",StatenIsland,10310,Yes,Yes,Yes,No,No,No,No,No,No,Yes,40.63450894,-74.11482187
466,DFTA,"10-25 41st Avenue, Long Island City, NY",Queens,11101,Yes,Not sure,Yes,No,No,No,No,No,No,No,40.75566,-73.945099
133,BPL,"2061-65 Flatbush Avenue, Brooklyn, NY",Brooklyn,11234,Yes,Yes,Not sure,Yes,No,Yes,No,No,No,Yes,40.6197682,-73.93321326
513,QPL,"25-55 Francis Lewis Boulevard, Flushing, NY",Queens,11358,Yes,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.77375211,-73.79634319
193,DYCD,"530 West 133rd Street, New York, NY",Manhattan,10027,No,No,No,No,Yes,Yes,No,No,No,No,40.81814334,-73.95450122
247,DYCD,"3005 Frederick Douglas Boulevard, Manhattan, NY",Manhattan,10039,Yes,No,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.83192,-73.93688
122,DFTA,"430 Dumont Avenue, Brooklyn, NY",Brooklyn,11212,Yes,Yes,No,No,No,Yes,No,No,No,Yes,40.66496523,-73.90344569
320,DFTA,"2125 Glebe Avenue, Bronx, NY",Bronx,10462,Yes,No,No,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,40.83500906,-73.85033989
296,DFTA,"900 Grand Concourse , Bronx, NY",Bronx,10451,Yes,Not sure,Yes,Yes,No,No,No,No,Yes,No,40.827412,-73.922277
379,DPR,"1 Clarkson Street, New York, NY",Manhattan,10014,Yes,Yes,Not sure,No,No,No,No,No,No,No,40.729598,-74.005446
