NAME,ZIP,URL,Borough,Latitude,Longitude,Address
Jewish Theological Seminary / List College Of Jewish Studies,10027,http://www.jtsa.edu/,Manhattan,40.811801634463286,-73.96001031213936,3080 BROADWAY New York
Phillips Beth Israel School Of Nursing,10010,http://wehealny.org/bischoolofnursing/index.html,Manhattan,40.73686062472525,-73.9810549374029,310 EAST 22 STREET New York
Boricua College,10032,http://www.boricuacollege.edu/,Manhattan,40.83347318351127,-73.94587880144374,3755 BROADWAY New York
Cornell University / Weill Graduate School Of Medical Sciences Of Cornell University,10021,http://www.med.cornell.edu/gradschool/,Manhattan,40.76523174250826,-73.9553818130165,445 EAST 69 STREET New York
American Academy Mcallister Institute Of Funeral Service,10019,http://www.a-a-m-i.org/,Manhattan,40.767873514551425,-73.98864638744395,450 WEST 56 STREET New York
Yeshiva University,10033,http://www.yu.edu/,Manhattan,40.85053977419417,-73.92980468839204,500 WEST 185 STREET New York
"Teachers College, Columbia University",10027,http://www.tc.columbia.edu/,Manhattan,40.81029418631306,-73.96028717108886,525 WEST 120 STREET New York
New School University / Jazz And Contemporary Music Program,10011,http://www.newschool.edu/jazz/,Manhattan,40.736553887838184,-73.99649861360797,55 WEST 13 STREET New York
Bank Street College Of Education / Graduate School Of Education,10025,http://www.bankstreet.edu/,Manhattan,40.80557808768119,-73.9666683641188,610 WEST 112 STREET New York
New School University / Eugene Lang College,10011,http://www.lang.edu/,Manhattan,40.73526236196918,-73.99747679976271,65 WEST 11 STREET New York
The City College of New York,10031,http://www1.ccny.cuny.edu/,Manhattan,40.81940116680288,-73.95026316293709,160 CONVENT AVENUE New York
